movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
(500) Days of Summer,PG-13,60722734,7/17/09 0:00,95,7500000,32391374
10 Things I Hate About You,PG-13,53478166,3/31/99 0:00,97,30000000,38178166
"10,000 B.C.",PG-13,269784201,3/7/08 0:00,109,105000000,94784201
102 Dalmatians,G,183611771,11/22/00 0:00,104,85000000,66957026
10th & Wolf,R,143451,8/18/06 0:00,110,8000000,54702
12 Years a Slave,R,187733202,10/18/13 0:00,133,20000000,56671993
127 Hours,R,60738797,11/5/10 0:00,93,18000000,18335230
13 Going on 30,PG-13,96455697,4/23/04 0:00,97,37000000,57231747
13 Hours: The Secret Soldiers of Benghazi,R,68489240,1/15/16 0:00,144,50000000,52853219
The 13th Warrior,R,61698899,8/27/99 0:00,102,160000000,32698899
1408,PG-13,131998242,6/22/07 0:00,94,25000000,71985628
1492: Conquest of Paradise,PG-13,N/A,10/9/92 0:00,148,47000000,7191399
15 Minutes,R,56359980,3/9/01 0:00,120,60000000,24403552
1941,PG,92455742,12/14/79 0:00,118,35000000,31755742
2 Fast 2 Furious,PG-13,236350661,6/6/03 0:00,101,76000000,127154901
2 Guns,R,131940411,8/2/13 0:00,109,61000000,75612460
200 Cigarettes,R,N/A,2/26/99 0:00,101,6000000,6852450
2001: A Space Odyssey,G,N/A,4/3/68 0:00,139,12000000,56715371
2012,PG-13,769679473,11/13/09 0:00,158,200000000,166112167
2046,R,19470239,8/5/05 0:00,129,12000000,1444588
21,PG-13,157927340,3/28/08 0:00,123,35000000,81159365
21 and Over,R,48065672,3/1/13 0:00,93,13000000,25682380
21 Grams,R,60427839,11/21/03 0:00,125,20000000,16290476
21 Jump Street,R,201585328,3/16/12 0:00,109,42000000,138447667
22 Jump Street,R,331333876,6/13/14 0:00,112,50000000,191719337
25th Hour,R,23928503,12/19/02 0:00,134,5000000,13084595
27 Dresses,PG-13,160259319,1/18/08 0:00,107,30000000,76808654
28 Days,PG-13,62198945,4/14/00 0:00,103,43000000,37170488
28 Days Later,R,82719885,6/27/03 0:00,113,8000000,45064915
3 Days to Kill,PG-13,52597999,2/21/14 0:00,117,28000000,30697999
3 Strikes,R,N/A,3/3/00 0:00,82,3400000,9832166
30 Days of Night,R,75505973,10/19/07 0:00,113,30000000,39568996
30 Minutes or Less,R,40547440,8/12/11 0:00,83,28000000,37053924
300,R,456068181,3/9/07 0:00,117,65000000,210614939
3000 Miles to Graceland,R,18720175,2/23/01 0:00,125,62000000,15749959
300: Rise of An Empire,R,337580051,3/7/14 0:00,102,110000000,106580051
3:10 to Yuma (2007),R,70016220,9/7/07 0:00,117,55000000,53606916
The 40-Year-Old Virgin,R,177378645,8/19/05 0:00,116,26000000,109449237
42,PG-13,N/A,4/12/13 0:00,128,40000000,95020213
47 Ronin,PG-13,151783839,12/25/13 0:00,127,175000000,38362475
5 Days of War,R,17479,8/19/11 0:00,113,12000000,17479
50 First Dates,PG-13,196482882,2/13/04 0:00,96,75000000,120908074
50/50,R,39187783,9/30/11 0:00,99,8000000,35014192
The 5th Wave,PG-13,107432384,1/22/16 0:00,112,38000000,34650223
The 6th Day,PG-13,96085477,11/17/00 0:00,124,82000000,34604280
8 Mile,R,242875078,11/8/02 0:00,118,41000000,116750901
8MM,R,96618699,2/26/99 0:00,124,40000000,36663315
9,PG-13,48428063,9/9/09 0:00,79,30000000,31749894
90 Minutes in Heaven,PG-13,N/A,9/11/15 0:00,121,5000000,4842699
99 Homes,R,1411927,9/25/15 0:00,112,8000000,1411927
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
The A-Team,PG-13,177238796,6/11/10 0:00,117,110000000,77222099
